CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
FYDHYBJQXIEOSE-HXFQDRMMSA-N	00K	(1s,7s)-7-amino-n-[(2r,3s)-7-amino-1-(cyclohexylamino)-2-hydroxy-1-oxoheptan-3-yl]-7-benzyl-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxamide
BCHJOEWNJFXZEK-DNHJLFCISA-N	00L	(1s,7s)-7-amino-7-benzyl-n-[(1s)-4-carbamimidamido-1-{(1s)-1-hydroxy-2-oxo-2-[(2-phenylethyl)amino]ethyl}butyl]-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxamide
LDSJMFGYNFIFRK-DTWKUNHWSA-N	00M	(2r,3s)-3-amino-2-hydroxy-4-phenylbutanoic acid
LWWRAASQNZOVDU-GSRZOBFVSA-N	00N	(1s,7s)-7-amino-7-benzyl-n-{(1s)-4-carbamimidamido-1-[(s)-hydroxy(1,3-thiazol-2-yl)methyl]butyl}-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxamide
PECGVEGMRUZOML-CQSZACIVSA-N	00O	beta-phenyl-d-phenylalanine
PTMIAKQUJFKTNB-LNLFQRSKSA-N	00P	(5s)-n-[(trans-4-aminocyclohexyl)methyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide
FOIAKHMJUJAMDU-ANZJIFDASA-N	00Q	d-phenylalanyl-n-{(1s)-1-[(s)-1,3-benzothiazol-2-yl(hydroxy)methyl]-4-carbamimidamidobutyl}-l-prolinamide
RRUPLXTVXFHADQ-ZWOKBUDYSA-N	00R	(5s)-n-[trans-4-(2-amino-1h-imidazol-5-yl)cyclohexyl]-1,3-dioxo-2-[2-(phenylsulfonyl)ethyl]-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazine-5-carboxamide
CHOGNBXWAZDZBM-UHFFFAOYSA-N	00S	4-(aminomethyl)benzenecarboximidamide
OPYZUJUKJWFWGF-UHFFFAOYSA-N	00T	(4-chlorobenzene-1,2-diyl)dimethanamine
VSGVOMMUKACZDZ-SWLSCSKDSA-N	00U	(1s,7s)-7-amino-7-benzyl-8-oxohexahydro-1h-pyrazolo[1,2-a]pyridazine-1-carboxylic acid
ICHJIRHABUATNQ-WDSKDSINSA-N	00V	(2s,3s)-3,7-diamino-2-hydroxyheptanoic acid
FSZGZFKATFQIEP-WHFBIAKZSA-N	00W	3-amino-6-carbamimidamido-3,4,5,6-tetradeoxy-l-erythro-hexonic acid
LOPKSXMQWBYUOI-BDAKNGLRSA-N	00X	(1s,2r)-1-amino-2,3-dihydro-1h-inden-2-ol
IWSANKKIFMAJIF-BQBZGAKWSA-N	00Y	1-[(4s,5s)-4-amino-5-hydroxy-5-(1,3-thiazol-2-yl)pentyl]guanidine
WVDDGKGOMKODPV-UHFFFAOYSA-N	010	phenylmethanol
XDOLZJYETYVRKV-UHFFFAOYSA-N	011	7-aminoheptanoic acid
MCBWJRZWLSXSBN-YTCPBCGMSA-N	012	(4s)-n-[(1s,2r)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-1-(3-methoxybenzyl)-2-oxoimidazolidine-4-carboxamide
KMTXKJAMNZYVII-UHFFFAOYSA-N	013	1,3-thiazol-5-ylmethyl hydrogen carbonate
VOINEICHGDKMIS-UHFFFAOYSA-N	014	1-(5-chloro-6-fluoro-1h-benzimidazol-2-yl)-1h-pyrazole-4-carboxylic acid
BIZHLXOOWGXFLC-BZSNNMDCSA-N	015	(2s,3s,5s)-2,5-diamino-1,6-diphenylhexan-3-ol
KKTYZYHUPKXLPL-IUHSWKRHSA-N	016	(4r)-3-[(2r,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
CJBJHOAVZSMMDJ-HEXNFIEUSA-N	017	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl(1s,2r)-3-[[(4-aminophenyl)sulfonyl](isobutyl)amino]-1-benzyl-2-hydroxypropylcarbamate
NGKHDSWSPXFWOE-UHFFFAOYSA-N	018	2-nitro-n-(thiophen-3-ylmethyl)-4-(trifluoromethyl)aniline
RYVNCLMOHYUBHZ-UHFFFAOYSA-N	019	methyl{[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl}carbamic acid
JKZHFXZXNBMAGG-VXAHOBLNSA-N	01A	4-chlorophenacyl-coenzyme a
LDSJMFGYNFIFRK-BDAKNGLRSA-N	01B	(2s,3r)-3-amino-2-hydroxy-4-phenylbutanoic acid
QYKXWMAKGPHAGR-VIFPVBQESA-N	01C	(4s)-4-amino-1,1,1,2,2-pentafluoro-5-(1h-indol-3-yl)pentan-3-one
DUBMDYQWHSIBPD-FBESYSLLSA-N	01E	(2s)-2-(3,3-dimethylbutanoylamino)-n-[(2s)-1-[[(2s,3s)-3-hydroxy-4-[(4-iodophenyl)methylamino]-4-oxo-butan-2-yl]amino]-1,4-dioxo-4-pyrrol-1-yl-butan-2-yl]-3,3-dimethyl-butanamide
CQDGTJPVBWZJAZ-UHFFFAOYSA-N	01F	ethyl hydrogen carbonate
YYAPYNUGMUZNGD-WOUKDFQISA-N	01G	8-morpholin-4-ylguanosine 5'-(tetrahydrogen triphosphate)
VZNAZYIHCOSQCQ-UHFFFAOYSA-N	01H	4-hydrazinylbutan-1-amine
IPFSIVVOJSEJOL-UHFFFAOYSA-N	01I	naphtho[2,1-b:7,6-b']difuran-2,8-dicarboxylic acid
GJAJEXRMMBBABJ-QUCCMNQESA-N	01J	n-[(s)-hydroxy(morpholin-4-yl)methyl]-beta-phenyl-d-phenylalanine
YGZKIOPJGFQDSR-VLHHDIFDSA-N	01K	[(2r,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3r,20r)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate
HSZIJAHUOVGOAM-YFKPBYRVSA-N	01L	[(1r)-1-amino-4-methoxybutyl]boronic acid
GVADBJCGWVJBRF-YFKPBYRVSA-N	01M	(3s)-1-carbamimidoylpiperidine-3-carboxylic acid
XVBUSFLUWMTOEE-SECBINFHSA-N	01N	n-(carboxymethyl)-3-cyclohexyl-d-alanine
DOVCUCQMMYPADA-UHFFFAOYSA-N	01O	4-(aminomethyl)-1-methyl-1h-pyrrole-2-carboximidamide
LNEPMZDEABTAPY-UHFFFAOYSA-N	01P	n~2~-[3-methoxy-4-(morpholin-4-yl)phenyl]-n~4~-(quinolin-3-yl)pyrimidine-2,4-diamine
YELNAWCFMHWAQG-UHFFFAOYSA-N	01Q	5-(aminomethyl)-1-methyl-1h-pyrrole-2-carboximidamide
HWVWEGOXLGPYDB-UHFFFAOYSA-N	01R	n-(pyridin-4-yl)ethane-1,2-diamine
FGSNBBSHVNLDMX-YUMQZZPRSA-N	01S	n-[(2r)-2-(hydroxycarbamoyl)-4-methylpentanoyl]-l-alanylglycinamide
HQVOROHHYWZJLD-UHFFFAOYSA-N	01T	[5-(aminomethyl)-6-(2,2-dimethylpropyl)-2-ethyl-4-(4-methylphenyl)pyridin-3-yl]acetic acid
HYBCFWFWKXJYFT-UHFFFAOYSA-N	01U	1,3-benzothiazole-2,6-diamine
AKGJLIXNRPNPCH-UHFFFAOYSA-N	01V	1-(2,5-dichlorophenyl)methanamine
ZSHUSDSLXWTXDN-ZETCQYMHSA-N	01W	(2s)-2-ammonio-4-[(2,4-dinitrophenyl)amino]butanoate
SXKBUHHKKNFJLT-UHFFFAOYSA-N	01X	[2-(aminomethyl)-4-chlorophenoxy]acetic acid
JPUGGGCNNKXYCU-UHFFFAOYSA-N	01Y	(cyclopentyloxy)acetic acid
GOLVMRZULJWHGT-UHFFFAOYSA-N	01Z	(cyclohexyloxy)acetic acid
RLLQMCBJNDRXGR-UHFFFAOYSA-N	020	n-(furan-2-ylmethyl)-2-nitro-4-(trifluoromethyl)aniline
LRHRHAWNXCGABU-UHFFFAOYSA-N	021	n-cyclopentylglycine
YVPGZQLRPAGKLA-UHFFFAOYSA-N	022	3-{1-(4-carbamoyl-2-methylphenyl)-5-[4-(1h-imidazol-1-yl)phenyl]-1h-pyrrol-2-yl}propanoic acid
GHVMTHKJUAOZJP-CGTJXYLNSA-N	023	n^2^-[(2r)-2-{(1s)-1-[formyl(hydroxy)amino]ethyl}-5-phenylpentanoyl]-n,3-dimethyl-l-valinamide
RXDVFLTWXCTCEX-UHFFFAOYSA-N	024	4-bromo-3-(carboxymethoxy)-5-[3-(cyclohexylamino)phenyl]thiophene-2-carboxylic acid
LVMOKIQHDKDNBI-UHFFFAOYSA-N	025	3-(trifluoromethyl)benzenesulfonic acid
UVLSCMIEPPWCHZ-UHFFFAOYSA-N	026	3-(piperazin-1-yl)propan-1-amine
VLOGKAVNBJBYON-UHFFFAOYSA-N	027	7-(4-methylpiperazin-1-yl)-4-[(5-methyl-1h-pyrazol-3-yl)amino]-2-(propan-2-yl)phthalazin-1(2h)-one
IJEGNOYPWRBKAE-UHFFFAOYSA-N	028	(1-hydroxyheptane-1,1-diyl)bis(phosphonic acid)
JBRMEFWJFBHUKG-KNVOCYPGSA-N	029	cis-4-(carbamimidamidomethyl)cyclohexanecarboxylic acid
IADUEWIQBXOCDZ-VKHMYHEASA-N	02A	(2s)-azetidine-2-carboxylic acid
JDWREWOCOCHHOO-UHFFFAOYSA-N	02B	4-methoxy-2,3,6-trimethylbenzenesulfonic acid
KYXSOUQEUGTQGE-UHFFFAOYSA-N	02C	2-(aminomethyl)-1,3-thiazole-4-carboximidamide
BOBPPWFJOKHRKZ-UHFFFAOYSA-N	02D	5-(aminomethyl)thiophene-2-carboximidamide
UDSHKAAJKDFNDC-AAKUMTKESA-N	02E	(e,1s)-1-[dihydroxy(diphenoxy)-$l^{5}-phosphanyl]-4-methoxy-but-3-en-1-amine
PXJTVTLKYWDWLN-YFKPBYRVSA-N	02F	[(1s)-1-amino-4-methoxybutyl]phosphonic acid
UNSBLAMOMWTOIP-OFRQFNDLSA-N	02G	(3s,4e)-3-hydroxy-7-sulfanylhept-4-enoic acid
WMWFJAPKMZNXGW-VABKMULXSA-N	02H	(2s,3s,5s)-2,5-diamino-6-phenyl-1-[4-(pyridin-3-yl)phenyl]hexan-3-ol
CFRPMSDTAMOMAA-VYFZPWGTSA-N	02I	(6s,7s,8s,10r)-4-amino-8-hydroxy-7,8,9,10-tetrahydro-6h-7,10-epoxyazepino[1,2-e]purin-6-yl dihydrogen phosphate
BNMPIJWVMVNSRD-UHFFFAOYSA-N	02J	5-methyl-1,2-oxazole-3-carboxylic acid
WOXWUZCRWJWTRT-UHFFFAOYSA-N	02K	1-aminocyclohexanecarboxylic acid
KANDDIFOWGGKRK-LURJTMIESA-N	02L	n-(2,2-dimethylpropyl)-l-asparagine
HMTSWYPNXFHGEP-UHFFFAOYSA-N	02N	1-(4-methylphenyl)methanamine
MOCSHHCILAILMH-YFKPBYRVSA-N	02O	3-(3-tert-butyl-1,2,4-oxadiazol-5-yl)-l-alanine
BNDOLKJAONQVEV-MOPGFXCFSA-O	02P	d-phenylalanyl-n-[(4-chloro-1-methylpyridinium-2-yl)methyl]-l-prolinamide
JIRKNEAMPYVPTD-UHFFFAOYSA-N	02Q	3-(2-methylphenyl)propanoic acid
KDDNKZCVYQDGKE-UHFFFAOYSA-N	02R	1-(2-chlorophenyl)methanamine
AQSCHALQLXXKKC-UHFFFAOYSA-N	02S	4-(benzyloxy)benzoic acid
SWZNXCABBUKIPZ-UHFFFAOYSA-N	02T	1-(3-methylthiophen-2-yl)methanamine
JSOOUDKFWVPPEF-UHFFFAOYSA-N	02U	14-methylhexadec-9-enoic acid
PGFNASLHURMLBI-QMMMGPOBSA-N	02V	(2s)-(3,4-dihydroxyphenyl)(methylamino)ethanoic acid
UREWYRDRWNMMAZ-UHFFFAOYSA-N	02W	2-(2-methyl-1h-benzimidazol-1-yl)ethanamine
RKAFKUROUOLPOL-YFKPBYRVSA-N	02X	(2s)-2-(propan-2-yl)butanedioic acid
UUTYCZUIECRVAL-YFKPBYRVSA-O	02Y	6-diazonio-5-oxo-l-norleucine
NLHYHLPSUOFMHW-UHFFFAOYSA-N	02Z	4-amino-2-(phenylamino)-1,3-thiazole-5-carboxamide
QZRYMCLGPOUYKP-MVIOUDGNSA-N	030	(3r,3ar,5r,6ar)-3-hydroxyhexahydro-2h-cyclopenta[b]furan-5-yl hydrogen carbonate
RPIALZPTIFOQGC-CXLNPQPMSA-N	031	(3as,5r,6ar)-hexahydro-2h-cyclopenta[b]furan-5-yl [(1s,2r)-1-benzyl-2-hydroxy-3-([(4-methoxyphenyl)sulfonyl]{[(2r)-5-oxopyrrolidin-2-yl]methyl}amino)propyl]carbamate
GPXBXXGIAQBQNI-UHFFFAOYSA-N	032	n-(3-{[5-(4-chlorophenyl)-1h-pyrrolo[2,3-b]pyridin-3-yl]carbonyl}-2,4-difluorophenyl)propane-1-sulfonamide
HJFONKSERLWIGE-DEOSSOPVSA-N	033	n-({4'-[(1-benzofuran-2-ylcarbonyl)amino]-1,1'-biphenyl-4-yl}sulfonyl)-l-valine
RYEIPXVNZXWZFN-UHFFFAOYSA-N	034	5-(4-{[3-(2,6-dichlorophenyl)-5-(propan-2-yl)-1,2-oxazol-4-yl]methoxy}phenyl)-1h-indole-2-carboxylic acid
OZYHUBGACYJJJF-LURJTMIESA-N	035	(2s)-2,7-bis(phosphonooxy)heptanoic acid
OZYHUBGACYJJJF-ZCFIWIBFSA-N	036	(2r)-2,7-bis(phosphonooxy)heptanoic acid
KWRNCAUXSJOYQO-ACZMJKKPSA-N	037	(1s,3ar,6as)-octahydrocyclopenta[c]pyrrole-1-carboxylic acid
FZZOBXKGDCMGAL-NAJARDBOSA-N	038	3-[[(2s)-2-[[[(2s)-2-[[(2s)-2-[[(2s)-2-azanyl-3-(1h-1,2,3,4-tetrazol-5-ylcarbonylamino)propanoyl]amino]-3-methyl-butanoyl]amino]-4-methyl-pentanoyl]amino]methyl]-2-hydroxy-4-phenyl-butanoyl]amino]benzoic acid
UMMYTDJYDSTEMB-UHFFFAOYSA-N	039	2-((9h-purin-6-ylthio)methyl)-5-chloro-3-(2-methoxyphenyl)quinazolin-4(3h)-one
FTXZHTIVOPMXBI-ZETCQYMHSA-N	03A	(3s)-3-amino-n-cyclopropyl-2-oxohexanamide
IUXZRSUDCUOHPK-DIPNUNPCSA-N	03B	5-(4-chlorophenyl)-4-{3-[4-(4-{[(4-{[(2r)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrophenyl)sulfonyl]amino}phenyl)piperazin-1-yl]phenyl}-1,2-dimethyl-1h-pyrrole-3-carboxylic acid
KOCQZKPUMDARNV-UHFFFAOYSA-N	03C	[5-amino-1-(2-methylphenyl)-1h-pyrazol-4-yl]{3-[1-(methylsulfonyl)piperidin-4-yl]phenyl}methanone
LRMIUNSMKAGCAH-ZGLCPUQGSA-N	03D	(2r,4s,5s)-n-[(2s,3r,4s)-1-cyclohexyl-3,4-dihydroxy-6-methylheptan-2-yl]-2-(cyclopropylmethyl)-4,5-dihydroxy-6-phenylhexanamide
IINRZEIPFQHEAP-UHFFFAOYSA-N	03E	1-aminocycloheptanecarboxylic acid
MVGFIPNJBNBHNC-HVFXMTMESA-N	03F	(9z)-n-[(2s,3r,4e)-1-(beta-d-glucopyranosyloxy)-3-hydroxyoctadec-4-en-2-yl]octadec-9-enamide
ZKXLQCIOURANAD-UHFFFAOYSA-N	03G	n-(4-chlorophenyl)-n'-(2,2,6,6-tetramethylpiperidin-4-yl)ethanediamide
CBQBIPRPIHIKPW-YFKPBYRVSA-N	03H	(2s)-2-chloro-4-methylpentanoic acid
GGIDQMXKOSYOHO-RUZDIDTESA-N	03I	(2r)-n-hydroxy-2-methyl-2-(methylsulfonyl)-4-{4'-[3-(morpholin-4-yl)propoxy]biphenyl-4-yl}butanamide
CZIRGEGHXBDKME-UHFFFAOYSA-N	03J	3-[4-(4-phenylthiophen-2-yl)phenyl]propanoic acid
HGEJNHUGVPFHIF-UHFFFAOYSA-N	03K	n-(5-cyclopropyl-1h-pyrazol-3-yl)benzene-1,4-dicarboxamide
HLWGMGIORMMWMJ-UHFFFAOYSA-N	03L	2-({2-chloro-6-[(2,4-dichlorophenyl)sulfanyl]benzyl}carbamoyl)benzoic acid
OEXMEVPQEPHTAQ-IDUWFGFVSA-N	03M	(5z)-5-[(6-chloro-7-methyl-1h-indol-3-yl)methylidene]-3-(3,4-difluorobenzyl)imidazolidine-2,4-dione
PBGDGOWGZQNAHJ-UHFFFAOYSA-N	03N	4-(aminomethyl)piperidine-1-carboximidamide
OCWWMSJBVHBZEF-JTQLQIEISA-N	03O	4-({[(6s)-2-amino-5-methyl-4-oxo-3,4,5,6,7,8-hexahydropteridin-6-yl]methyl}amino)benzoic acid
ZYQXEVJIFYIBHZ-UHFFFAOYSA-N	03P	n-{2-[4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-5h-pyrrolo[3,2-d]pyrimidin-5-yl]ethyl}-3-hydroxy-3-methylbutanamide
XPUIECRALWERTL-UHFFFAOYSA-N	03Q	2-{2-[4-({5-chloro-6-[3-(trifluoromethyl)phenoxy]pyridin-3-yl}amino)-5h-pyrrolo[3,2-d]pyrimidin-5-yl]ethoxy}ethanol
BUZNVJZUYOBGFM-KRWDZBQOSA-N	03R	2-({6-{3-[amino(imino)methyl]phenoxy}-3,5-difluoro-4-[(1-methyl-3-phenylpropyl)amino]-2-pyridinyl}oxy)benzoic acid
AFVFQIVMOAPDHO-UHFFFAOYSA-N	03S	methanesulfonic acid
UZMQSZBTFGHLAH-UHFFFAOYSA-N	03T	1-benzothiophene-2-sulfonamide
IYKUBGQVTQQVJG-ZCXUNETKSA-N	03U	methyl 4-{[(2z)-2-cyano-3-hydroxypent-2-enoyl]amino}-4'-fluorobiphenyl-2-carboxylate
JWAZRIHNYRIHIV-UHFFFAOYSA-N	03V	naphthalen-2-ol
MQVRLONNONYDJP-UWTATZPHSA-N	03W	(2r)-propane-1,1,2,3-tetrol
SBLMCLDRWJNEJK-UHFFFAOYSA-N	03X	n-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]-3-fluorophenyl}-1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
NZBONMFLYFGTAC-BYPYZUCNSA-N	03Y	2-methyl-l-cysteine
SIHPQWGESUQLJI-UHFFFAOYSA-N	03Z	4-[(4-amino-5-benzoyl-1,3-thiazol-2-yl)amino]benzenesulfonamide
AVVYWVLNDGDANA-UHFFFAOYSA-N	040	4-(2-methylphenyl)-2,4-dioxobutanoic acid
MQIMZDXIAHJKQP-UHFFFAOYSA-N	041	2-(3-fluoro-4-hydroxyphenyl)-7-vinyl-1,3-benzoxazol-5-ol
QMPAEYUADYAXIX-XFVKVHEMSA-N	042	n-{[(2s,3s)-3-(ethoxycarbonyl)oxiran-2-yl]carbonyl}-l-threonyl-l-isoleucine
DLBFPLZJXXVHIG-UHFFFAOYSA-N	043	4-(3-bromophenyl)-2,4-dioxobutanoic acid
OHLUERTUZNIQEE-GOSISDBHSA-N	044	n-{3-fluoro-4-[(7-methoxyquinolin-4-yl)oxy]phenyl}-1-[(2r)-2-hydroxypropyl]-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
ODEHMIGXGLNAKK-OESPXIITSA-N	045	beta-d-fructofuranosyl-(2->6)-beta-d-fructofuranosyl alpha-d-glucopyranoside
VQLNKQZLPGLOSI-UHFFFAOYSA-N	046	5-{[6-(acetylamino)pyrimidin-4-yl]oxy}-n-{4-[(4-methylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl}-2,3-dihydro-1h-indole-1-carboxamide
MMIJMYOYKAKQPN-UHFFFAOYSA-N	047	1-cyclohexyl-n-{[1-(4-methylphenyl)-1h-indol-3-yl]methyl}methanamine
ATBLOTYVKHVLPU-UHFFFAOYSA-N	048	n-{2-fluoro-5-[(5-oxo-6,7,8,9-tetrahydro-5h-benzo[7]annulen-2-yl)amino]phenyl}benzamide
JMHXNXJFBFTKHQ-BFHYXJOUSA-N	049	2-(acetylamino)-4,5-anhydro-1,2-dideoxy-4-methyl-1-phenyl-d-xylitol
MDJIPXYRSZHCFS-UHFFFAOYSA-N	04A	n,n'-[sulfanediylbis(ethane-2,1-diyl-1,3,4-thiadiazole-5,2-diyl)]bis(2-phenylacetamide)
QCUSFENRXRYWFV-USWWRNFRSA-N	04B	2-amino-1,2,4-trideoxy-4-methyl-1-phenyl-d-xylitol
SLVOSRJOLWNALP-QAKIEGLASA-N	04C	1,2,4-trideoxy-4-methyl-2-{[n-(morpholin-4-ylacetyl)-l-alanyl-o-methyl-l-tyrosyl]amino}-1-phenyl-d-xylitol
GUNDRKRTYHTHOS-HRDYMLBCSA-N	04D	(2r,3r,4s)-4-amino-2,6-dimethylheptane-1,3-diol
JDNTWHVOXJZDSN-UHFFFAOYSA-N	04E	iodoacetic acid
XADNOHUHGUXHMN-CNGBTNQNSA-N	04F	(1s,2s)-2-amino-1-hydroxy-3-[(3s)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid
HSSLDCABUXLXKM-UHFFFAOYSA-N	04G	7-hydroxy-3h-phenoxazin-3-one
KCFNKNPGJGJUPV-LURJTMIESA-N	04H	(3s)-3-(aminomethyl)piperidine-1-carboximidamide
TVZGACDUOSZQKY-LBPRGKRZSA-N	04J	aminopterin
PAJOHXKWGHBVDS-UHFFFAOYSA-N	04K	2-({4-[2-(diethylamino)ethoxy]phenyl}amino)-6-(4-fluorophenoxy)-8-methylpyrido[2,3-d]pyrimidin-7(8h)-one
ZNIFXENZPBLKBE-FYWRMAATSA-N	04L	2-methyl-n-(2-phenyl-3h-imidazo[4,5-b]pyridin-6-yl)-5-{[(2e)-3-phenylprop-2-enoyl]amino}benzamide
CMGIINZLEYERNR-UHFFFAOYSA-N	04M	5-(morpholin-4-ylsulfonyl)-2-{[3-(octyloxy)benzyl]oxy}benzoic acid
BIHZUORUPXZYTO-WXCVZDNMSA-N	04N	2-amino-2-deoxy-4,6-o-(phenylmethylidene)-alpha-d-glucopyranose
AWZFJXPWUYCUGB-OJVARPOJSA-N	04O	2-amino-2-deoxy-4,6-o-[(1r)-3-phenylpropylidene]-alpha-d-glucopyranose
YEVFLUKQHJTSMN-ZCFIWIBFSA-N	04P	(3r)-3-(hydroxymethyl)piperidine-1-carboximidamide
KGSVNOLLROCJQM-UHFFFAOYSA-N	04Q	n-benzylglycine
NOFFCWXIBYKMBU-UHFFFAOYSA-N	04R	[3-(trifluoromethyl)-4,5,6,7-tetrahydro-1h-indazol-1-yl]acetic acid
NGXSWUFDCSEIOO-SCSAIBSYSA-N	04S	(3r)-pyrrolidin-3-amine
JXZXJHWSQKISBZ-UHFFFAOYSA-N	04T	n-(4-{[4-(methylsulfonyl)-2-nitrophenyl]amino}phenyl)acetamide
QHXBBWVACLXCJH-IMJSIDKUSA-O	04U	azanylidene-[(3s,5s)-5-carboxypyrrolidin-3-yl]imino-azanium
VLJNHYLEOZPXFW-BYPYZUCNSA-N	04V	(2s)-pyrrolidine-2-carboximidic acid
JVCSVSPXQNVWLW-UHFFFAOYSA-N	04W	2-{[3-(decyloxy)benzyl]oxy}-5-nitrobenzoic acid
IIQVKGCHPWVHMA-JTQLQIEISA-N	04X	(2s)-5-(morpholin-4-ylmethyl)-1,2,3,6-tetrahydropyridine-2-carboxylic acid
WGWGFHMTAVZKKS-UHFFFAOYSA-N	04Z	4-{[4-amino-5-(3-methoxybenzoyl)-1,3-thiazol-2-yl]amino}benzenesulfonamide
NYXJFBFDAFPUOG-XANCMCCPSA-N	051	(1r,3r,4s)-4-[({6-[(4-cyano-2-fluorobenzyl)oxy]naphthalen-2-yl}sulfonyl)amino]cyclohexane-1,3-dicarboxylic acid
AKGWVDBXMHMMSD-UHFFFAOYSA-N	052	n-cyclopropyl-2-methyl-4-(7-{[2-(morpholin-4-yl)ethyl]amino}-5-phenoxypyrazolo[1,5-a]pyrimidin-3-yl)benzamide
