cmpdiupacname,rotbonds,hbonddonor,mf,cid,complexity,mw,heavycnt,cmpdname,polararea,cmpdinchikey,hbondacc,xlogp
"7-(2-hydroxyethyl)-1,3-dimethylpurine-2,6-dione;(3,3,5-trimethylcyclohexyl) 2-hydroxy-2-phenylacetate",6,2,C26H36N4O6,134862,653,500.587,36,Eucebral-N,125,XWJRBYJNVOQFOC-UHFFFAOYSA-N,7,
"7-(2-hydroxy-3-phenoxypropyl)-1,3-dimethyl-8-piperidin-1-ylpurine-2,6-dione",6,1,C21H27N5O4,3154193,623,413.47,30,BAS 06503116,91.1,PQEMLCAVEMGOLQ-UHFFFAOYSA-N,6,0.001
"2-(1,3-dimethyl-2,6-dioxo-7-propylpurin-8-yl)sulfanyl-N-(2-piperidin-1-ylphenyl)acetamide",7,1,C23H30N6O3S,649970,733,470.587,33,ASN 04373725,116,NNILYJTZTWGWRW-UHFFFAOYSA-N,6,0.003
"7-benzyl-1,3-dimethyl-8-prop-2-enoxypurine-2,6-dione",5,0,C17H18N4O3,3654733,506,326.349,24,"7-benzyl-1,3-dimethyl-8-(prop-2-en-1-yloxy)-3,7-dihydro-1H-purine-2,6-dione",67.7,OLIQXQGAPRVTEO-UHFFFAOYSA-N,4,0.002
"1,3-dimethyl-7-[(5-methyl-1,2,4-oxadiazol-3-yl)methyl]purine-2,6-dione",2,0,C11H12N6O3,139570,432,276.251,20,Chinoin 170,97.4,JBXSBZBZASARMY-UHFFFAOYSA-N,6,-0.2
"8-(2-methoxyethylamino)-1,3-dimethyl-7-(3-phenylpropyl)purine-2,6-dione",8,1,C19H25N5O3,3157424,526,371.433,27,BAS 08333512,79.7,YOGHBWVJVKFAPS-UHFFFAOYSA-N,5,0.002
"[2-(4-amino-1,3-dimethyl-2,6-dioxopyrimidin-5-yl)-2-oxoethyl] 4-methyl-2-[(2-methylbenzoyl)amino]pentanoate",9,2,C22H28N4O6,4660681,821,444.48,32,T5214864,139,QMAYKGGNVJPGLD-UHFFFAOYSA-N,7,0.002
"8-[[benzyl(methyl)amino]methyl]-1,3-dimethyl-7-(3-oxobutan-2-yl)purine-2,6-dione",6,0,C20H25N5O3,3156064,621,383.444,28,BAS 07401644,78.8,YQSMFRPZJFHWTK-UHFFFAOYSA-N,5,0.001
"N-(2,5-dimethoxyphenyl)-2-(1,3,7-trimethyl-2,6-dioxopurin-8-yl)sulfanylacetamide",6,1,C18H21N5O5S,650357,652,419.454,29,ASN 04373557,131,NFJSGDSHHKHKEP-UHFFFAOYSA-N,7,0.001
"7-[(4-fluorophenyl)methyl]-1,3-dimethyl-8-(prop-2-enylamino)purine-2,6-dione",5,1,C17H18FN5O2,3144868,537,343.355,25,MLS000102939,70.5,DWBRQZYYESCGBK-UHFFFAOYSA-N,5,0.002
"1,3-dimethyl-7-pentyl-8-pyrrolidin-1-ylpurine-2,6-dione",5,0,C16H25N5O2,3145164,465,319.402,23,"1,3-Dimethyl-7-pentyl-8-pyrrolidin-1-yl-3,7-dihydro-purine-2,6-dione",61.7,VMXSCXSOFFUPAX-UHFFFAOYSA-N,4,0.002
"2-(1,3-dimethyl-2,6-dioxo-7-propylpurin-8-yl)sulfanyl-N-(furan-2-ylmethyl)acetamide",7,1,C17H21N5O4S,647344,592,391.444,27,ASN 03430737,126,HXQCHCHNUJVFTE-UHFFFAOYSA-N,6,0.001
"8-(4,4-dimethyl-2,6-dioxocyclohexyl)sulfanyl-1,3-dimethyl-7-propan-2-ylpurine-2,6-dione",3,0,C18H24N4O4S,647513,675,392.472,27,SMR000003572,118,HJYHTMJFDPNBQO-UHFFFAOYSA-N,6,0.001
"1,3-dimethyl-7-(1,3-thiazolidin-2-ylmethyl)purine-2,6-dione",2,1,C11H15N5O2S,124843,407,281.334,19,"7-(1,3-Thiazolidin-2-ylmethyl)theophylline",95.8,SYXXIOHDIHFIDC-UHFFFAOYSA-N,5,-0.4
"1,3-dimethyl-6-[(2S)-oxiran-2-yl]pyrimidine-2,4-dione",1,0,C8H10N2O3,125498,311,182.176,13,"1,3-Dopd",53.2,KIJLLYVGTQXTKZ-ZCFIWIBFSA-N,3,-0.001
"2-(7-ethyl-1,3-dimethyl-2,6-dioxopurin-8-yl)sulfanyl-N-(2-piperidin-1-ylphenyl)acetamide",6,1,C22H28N6O3S,647945,718,456.561,32,SMR000003282,116,PYKCRUNZXSHNNK-UHFFFAOYSA-N,6,0.002
"5-[[5-(3-chlorophenyl)furan-2-yl]methylidene]-1,3-dimethyl-1,3-diazinane-2,4,6-trione",2,0,C17H13ClN2O4,3647454,565,344.749,24,"5-{[5-(3-chlorophenyl)furan-2-yl]methylidene}-1,3-dimethylpyrimidine-2,4,6(1H,3H,5H)-trione",70.8,UCBALQAXTGTNRF-UHFFFAOYSA-N,4,0.002
"1,3-dimethyl-7-[(4-methylphenyl)methyl]-8-(2-piperidin-1-ylethylsulfanyl)purine-2,6-dione",6,0,C22H29N5O2S,649461,621,427.562,30,BAS 04427087,87,WZFNMLSFEYKFES-UHFFFAOYSA-N,5,0.003
"7-hexyl-1,3-dimethyl-8-[(4-methylpiperazin-1-yl)methyl]purine-2,6-dione",7,0,C19H32N6O2,4152248,536,376.496,27,SMR000016482,64.9,AKJBBGPOMZTTFT-UHFFFAOYSA-N,5,0.001
"7-(2,3-dihydroxypropyl)-1,3-dimethyl-8-pyrrolidin-1-ylpurine-2,6-dione",4,2,C14H21N5O4,649939,484,323.347,23,MLS000077383,102,YRARZMKWAXFKAG-UHFFFAOYSA-N,6,0
"8-bromo-7-[(2-chlorophenyl)methyl]-1,3-dimethylpurine-2,6-dione",2,0,C14H12BrClN4O2,650153,480,383.627,22,"8-Bromo-7-(2-chloro-benzyl)-1,3-dimethyl-3,7-dihydro-purine-2,6-dione",58.4,DMELHQBZQKVISN-UHFFFAOYSA-N,3,0.002
"8-(dimethylaminodiazenyl)-7-ethyl-1,3-dimethylpurine-2,6-dione",3,0,C11H17N7O2,128721,439,279.298,20,Etheofazine,86.4,OAQSALGVFQVOGT-UHFFFAOYSA-N,6,0
"1,3-dimethyl-8-[2-(2,2,2-trichloro-1-hydroxyethyl)hydrazinyl]-7H-purine-2,6-dione",3,4,C9H11Cl3N6O3,129206,447,357.581,21,Imphilline,114,GAVYWUKEMGINHW-UHFFFAOYSA-N,6,0.001
"N-[2-(3,4-dimethoxyphenyl)ethyl]-2-(1,3-dimethyl-2,6-dioxopurin-7-yl)acetamide",7,1,C19H23N5O5,1150890,632,401.416,29,SMR000019321,106,IFIAPTKSZFNHGW-UHFFFAOYSA-N,6,0.9
"5-(1,3-benzodioxol-5-ylmethyl)-1,3-dimethyl-1,3-diazinane-2,4,6-trione",2,0,C14H14N2O5,2179738,456,290.271,21,"5-(1,3-benzodioxol-5-ylmethyl)-1,3-dimethylpyrimidine-2,4,6(1H,3H,5H)-trione",76.2,VZKWQHSZARRBJR-UHFFFAOYSA-N,5,0.001
"7-(2-methoxyethyl)-1,3-dimethyl-8-[(4-phenylpiperazin-1-yl)methyl]purine-2,6-dione",6,0,C21H28N6O3,651403,620,412.485,30,SMR000014456,74.2,ORUUPFTXKQCOPT-UHFFFAOYSA-N,6,0
"1,3-dimethyl-7-[(3-methylphenyl)methyl]-8-(4-phenylpiperazin-1-yl)purine-2,6-dione",4,0,C25H28N6O2,651557,720,444.528,33,SMR000011813,64.9,KKSOHENWFLATRN-UHFFFAOYSA-N,5,0.003
"8-bromo-1,3-dimethyl-7-(2-pyrimidin-2-ylsulfanylethyl)purine-2,6-dione",4,0,C13H13BrN6O2S,661328,477,397.25,23,MLS000077514,110,FMCLRLBGHRLAME-UHFFFAOYSA-N,6,0.001
"1,3-dimethyl-8-[2-(2-methyl-2,3-dihydroindol-1-yl)-2-oxoethyl]sulfanyl-7-propylpurine-2,6-dione",5,0,C21H25N5O3S,3188048,706,427.519,30,GNF-Pf-4878,104,SYYRIFLXGHBECI-UHFFFAOYSA-N,5,0.002
"7-[2-(1,3-benzoxazol-2-ylsulfanyl)ethyl]-8-bromo-1,3-dimethylpurine-2,6-dione",4,0,C16H14BrN5O3S,661996,584,436.283,26,SMR000035502,110,MFCSRCGXHZOUMY-UHFFFAOYSA-N,6,0.002
"8-(2-ethoxyphenyl)-1,3-dimethyl-7H-purine-2,6-dione",3,1,C15H16N4O3,662120,458,300.312,22,STK649895,78.5,WTEDLIQOMIXNDI-UHFFFAOYSA-N,4,2.8
"1,3,7-trimethyl-8-(4-phenylphenoxy)purine-2,6-dione",3,0,C20H18N4O3,1203171,572,362.381,27,SMR000078345,67.7,OVKAHFHFOMUZMI-UHFFFAOYSA-N,4,0.003
"7-[2-hydroxy-3-(4-methoxyphenoxy)propyl]-1,3-dimethyl-8-(3-methylanilino)purine-2,6-dione",8,2,C24H27N5O5,662626,718,465.501,34,SMR000035620,109,LVUWOYOPMGLSJX-UHFFFAOYSA-N,7,0.002
"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N,N-diethylacetamide",4,0,C13H19N5O3,652907,451,293.321,21,"2-(1,3-Dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-purin-7-yl)-N,N-diethyl-acetamide",78.8,HRIJEJDKCKJHEG-UHFFFAOYSA-N,4,-0.1
"1,3-dimethyl-6-naphthalen-1-ylpyrrolo[3,4-d]pyrimidine-2,4-dione",1,0,C18H15N3O2,661179,509,305.33,23,ZINC00206352,45.6,NWPITXXIGYMABQ-UHFFFAOYSA-N,2,0.002
"N-(3-acetamidophenyl)-2-(1,3-dimethyl-2,6-dioxopurin-7-yl)acetamide",4,2,C17H18N6O4,1203028,641,370.362,27,ST50646850,117,GSGUURRRUWNOER-UHFFFAOYSA-N,5,-0.3
"N-(2,5-diethoxyphenyl)-2-(7-ethyl-1,3-dimethyl-2,6-dioxopurin-8-yl)sulfanylacetamide",9,1,C21H27N5O5S,652612,698,461.534,32,ASN 03801440,131,UENLCWZBPKZGTK-UHFFFAOYSA-N,7,0.002
"5-(2-methoxyphenyl)-1,3-dimethyl-6,8-dihydro-5H-pyrido[2,3-d]pyrimidine-2,4,7-trione",2,1,C16H17N3O4,3162456,586,315.323,23,ST50374118,79,LUPYKSNPCVYYFY-UHFFFAOYSA-N,4,0.2
"8-[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3-dimethyl-7H-purine-2,6-dione",2,4,C12H16N4O6,151061,490,312.278,22,7beta-D-Ribofuranosyltheophylline,139,FMYDMYVPLRERKJ-ZRTZXPPTSA-N,7,-0.002
"N-(3-acetamidophenyl)-2-(1,3,7-trimethyl-2,6-dioxopurin-8-yl)sulfanylacetamide",5,2,C18H20N6O4S,3186625,691,416.454,29,AC1MKYJJ,142,SQJMZWXVMZPGPJ-UHFFFAOYSA-N,6,0
"6-amino-5-[1-(2-methoxyphenyl)-2-nitropropyl]-1,3-dimethylpyrimidine-2,4-dione",4,1,C16H20N4O5,2732793,600,348.353,25,"6-amino-5-[1-(2-methoxyphenyl)-2-nitropropyl]-1,3-dimethyl-1,2,3,4-tetrahydropyrimidine-2,4-dione",122,MFFVYROVQWNVBE-UHFFFAOYSA-N,6,0
"6-amino-5-[1-(2-fluoro-6-methoxyphenyl)-2-nitroethyl]-1,3-dimethylpyrimidine-2,4-dione",4,1,C15H17FN4O5,2732795,605,352.317,25,MLS000861865,122,DQAXUFHBWMQUGP-UHFFFAOYSA-N,7,0
"8-[[benzyl(methyl)amino]methyl]-7-[(2-chlorophenyl)methyl]-1,3-dimethylpurine-2,6-dione",6,0,C23H24ClN5O2,662943,658,437.921,31,SMR000035258,61.7,LYVVIETWFMWMJP-UHFFFAOYSA-N,4,0.003
"8-[[benzyl(methyl)amino]methyl]-1,3-dimethyl-7-[(4-methylphenyl)methyl]purine-2,6-dione",6,0,C24H27N5O2,663059,644,417.503,31,SMR000035770,61.7,XKDDPOBSDPICRS-UHFFFAOYSA-N,4,0.002
"8-[[4-(2-hydroxyethyl)piperazin-1-yl]methyl]-1,3-dimethyl-7-(naphthalen-1-ylmethyl)purine-2,6-dione",6,1,C25H30N6O3,663141,744,462.544,34,SMR000035260,85.2,MLJLBAWSOLFFDJ-UHFFFAOYSA-N,6,0.001
"8-[[benzyl(methyl)amino]methyl]-1,3-dimethyl-7-(3-phenylpropyl)purine-2,6-dione",8,0,C25H29N5O2,663312,646,431.53,32,SMR000016486,61.7,MWCSXTGSSKNQJY-UHFFFAOYSA-N,4,3.2
"6-(4-hydroxyphenyl)-1,3-dimethyl-5-(3-methylphenyl)pyrrolo[3,4-d]pyrimidine-2,4-dione",2,1,C21H19N3O3,663404,589,361.393,27,SMR000044214,65.8,CHUBWXOTZRTEAL-UHFFFAOYSA-N,3,0.002
"8-[2-(3,4-dimethoxyphenyl)ethylamino]-7-ethyl-1,3-dimethylpurine-2,6-dione",7,1,C19H25N5O4,663407,577,387.432,28,SMR000037034,88.9,MQDBAWVJKJZWJE-UHFFFAOYSA-N,6,0.002
"7-benzyl-1,3-dimethyl-8-[2-(2-methyl-2,3-dihydroindol-1-yl)-2-oxoethyl]sulfanylpurine-2,6-dione",5,0,C25H25N5O3S,652524,805,475.562,34,SMR000003387,104,CQINZRYPPQINEF-UHFFFAOYSA-N,5,0.003
"7-benzyl-1,3-dimethyl-8-(pyridin-3-ylmethylsulfanyl)purine-2,6-dione",5,0,C20H19N5O2S,652567,585,393.462,28,ASN 04426959,96.6,IHYMDTAPSJVJMN-UHFFFAOYSA-N,5,0.002
"8-[(2-ethylpiperidin-1-yl)methyl]-1,3-dimethyl-7-pentylpurine-2,6-dione",7,0,C20H33N5O2,4163325,543,375.508,27,MLS000101882,61.7,FUVFXEPSEJYQLP-UHFFFAOYSA-N,4,0.003
"8-[3-(dimethylamino)propoxy]-1,3,7-trimethylpurine-2,6-dione;hydrochloride",5,1,C13H22ClN5O3,149270,417,331.798,22,Proxifen,70.9,QAUAVSIOWDOQNO-UHFFFAOYSA-N,5,
"1,3-dimethyl-9-(2-phenylethyl)-7,8-dihydro-6H-purino[7,8-a]pyrimidine-2,4-dione",3,0,C18H21N5O2,3162488,536,339.391,25,MLS001166740,61.7,PPHQNKPUIYRVIK-UHFFFAOYSA-N,4,0.002
"7-[(4-fluorophenyl)methyl]-1,3-dimethyl-8-(2-morpholin-4-ylethylsulfanyl)purine-2,6-dione",6,0,C20H24FN5O3S,653202,630,433.499,30,MLS000027543,96.2,KPABKOBTKFPAFF-UHFFFAOYSA-N,7,0.001
"7-(2-hydroxy-4-phenyl-3-piperazin-1-ylbutyl)-1,3-dimethylpurine-2,6-dione",6,2,C21H28N6O3,152269,622,412.485,30,BRN 0592463,93.9,YLYYYPPNTJHUJD-UHFFFAOYSA-N,6,0.3
"2-(7-butyl-1,3-dimethyl-2,6-dioxopurin-8-yl)sulfanyl-N-(thiophen-2-ylmethyl)acetamide",8,1,C18H23N5O3S2,653480,608,421.536,28,SMR000003291,141,AGICGTVHXALFJA-UHFFFAOYSA-N,6,0.002
"7-ethyl-1,3-dimethyl-8-(pyridin-3-ylmethylsulfanyl)purine-2,6-dione",4,0,C15H17N5O2S,653556,477,331.392,23,ASN 03801504,96.6,XVZUDFDPHKBPOB-UHFFFAOYSA-N,5,0.001
"6-(2-hydroxyphenyl)-1,3-dimethyl-5-(4-methylphenyl)pyrrolo[3,4-d]pyrimidine-2,4-dione",2,1,C21H19N3O3,653759,589,361.393,27,SMR000013756,65.8,ZBJZBPBDMBRWPC-UHFFFAOYSA-N,3,0.002
"7-[2-[bis(2-hydroxyethyl)amino]ethyl]-1,3-dimethylpurine-2,6-dione;(2R,3R)-2,3-dihydroxybutanedioic acid",10,6,C17H27N5O10,156075,549,461.423,32,AC1L4FI9,217,JYMDAVPCRQCKBG-LREBCSMRSA-N,12,
"N-(2-methylphenyl)-2-(1,3,7-trimethyl-2,6-dioxopurin-8-yl)sulfanylacetamide",4,1,C17H19N5O3S,1172258,589,373.429,26,ZINC00928647,113,HHBTYQOGSCAOQR-UHFFFAOYSA-N,5,0.001
"methyl 2-[1,3-dimethyl-7-(3-methylbutyl)-2,6-dioxopurin-8-yl]sulfanylpropanoate",7,0,C16H24N4O4S,661520,544,368.451,25,MLS000103233,110,WCZXQLRGOLIDEO-UHFFFAOYSA-N,6,0.002
"N-(1,3-benzothiazol-2-yl)-2-(1,3-dimethyl-2,6-dioxo-7-propylpurin-8-yl)sulfanylacetamide",6,1,C19H20N6O3S2,3188049,697,444.53,30,SMR000118172,154,BZLJKBSIVSQANB-UHFFFAOYSA-N,7,0.002
"8-[(4-benzylpiperazin-1-yl)methyl]-1,3-dimethyl-7-(2-morpholin-4-ylethyl)purine-2,6-dione",7,0,C25H35N7O3,662827,735,481.59,35,SMR000035785,77.4,UCPPQVZOICBVJC-UHFFFAOYSA-N,7,0
"8-[(dibenzylamino)methyl]-7-(2-methoxyethyl)-1,3-dimethylpurine-2,6-dione",9,0,C25H29N5O3,3699796,644,447.529,33,MLS000101888,70.9,GHYSLQZQBXIQIL-UHFFFAOYSA-N,5,0.002
"1,3-dimethyl-5-(3-methylphenyl)-6-propan-2-ylpyrrolo[3,4-d]pyrimidine-2,4-dione",2,0,C18H21N3O2,663643,493,311.378,23,MLS000040762,45.6,YLYKHMPMJRLQQV-UHFFFAOYSA-N,2,0.002
"2-(1,3-dimethyl-2,6-dioxo-7-propylpurin-8-yl)sulfanyl-N-(4,5,6,7-tetrahydro-1,3-benzothiazol-2-yl)acetamide",6,1,C19H24N6O3S2,653676,697,448.562,30,SMR000002300,154,YMNZFBJWBJYYHG-UHFFFAOYSA-N,7,0.002
"8-[[4-(furan-2-carbonyl)piperazin-1-yl]methyl]-1,3-dimethyl-7-propylpurine-2,6-dione",5,0,C20H26N6O4,3669496,682,414.458,30,MLS000101823,95.1,BCWXIMFFQBZFRO-UHFFFAOYSA-N,6,0
"6-benzyl-1,3-dimethyl-7,8-dihydro-5H-pyrimido[4,5-d]pyrimidine-2,4-dione",2,1,C15H18N4O2,155675,482,286.329,21,MLS003389347,55.9,OTLBIOOKYHLHSP-UHFFFAOYSA-N,4,0
"magnesium;1,3-dimethyl-7H-purine-2,6-dione;2-[hydroxy(oxido)methyl]phenolate",1,2,C14H14MgN4O5,156930,372,342.589,24,Theophylline magnesium salicylate,136,QMROWKNOXHUYOJ-UHFFFAOYSA-M,6,
"N-[4-[[2-(7-ethyl-1,3-dimethyl-2,6-dioxopurin-8-yl)sulfanylacetyl]amino]phenyl]propanamide",7,2,C20H24N6O4S,1173783,714,444.507,31,ASN 04426448,142,GKHRKNDWHMUDIC-UHFFFAOYSA-N,6,0.001
"8-[3-(dimethylamino)propoxy]-1,3,7-trimethylpurine-2,6-dione;hydron;platinum(4+);hexachloride",10,2,C26H44Cl6N10O6Pt,157430,417,1000.492,49,Cofplaton,142,VAACJQNAKIVSBI-UHFFFAOYSA-J,16,
"2-(1,3-dimethyl-2,6-dioxo-7-propylpurin-8-yl)sulfanyl-N-(6-methylpyridin-2-yl)acetamide",6,1,C18H22N6O3S,1173804,620,402.47,28,ASN 04426655,126,VHBQVEFDIVLMPY-UHFFFAOYSA-N,6,0.001
"7-[(3-methoxyphenyl)methyl]-1,3-dimethyl-8-(2-methylpropylamino)purine-2,6-dione",6,1,C19H25N5O3,658486,558,371.433,27,SMR000035513,79.7,MVUDKBWJWGPPMZ-UHFFFAOYSA-N,5,0.002
"8-(butylamino)-7-[(3-methoxyphenyl)methyl]-1,3-dimethylpurine-2,6-dione",7,1,C19H25N5O3,658548,545,371.433,27,SMR000039606,79.7,UFJRPPBCKJRQNL-UHFFFAOYSA-N,5,0.002
"1,3-dimethyl-8-morpholin-4-yl-7-phenacylpurine-2,6-dione",4,0,C19H21N5O4,658575,632,383.401,28,F1352-0062,88,PHONRONVRAWODB-UHFFFAOYSA-N,6,0.001
"8-(1,3-benzodioxol-5-yloxy)-7-[(4-fluorophenyl)methyl]-1,3-dimethylpurine-2,6-dione",4,0,C21H17FN4O5,658931,705,424.381,31,SMR000035484,86.1,MHBUFZBYNOVUEZ-UHFFFAOYSA-N,7,0.002
"8-bromo-7-[2-(3-methoxyphenyl)-2-oxoethyl]-1,3-dimethylpurine-2,6-dione",4,0,C16H15BrN4O4,659212,574,407.218,25,SMR000035165,84.7,WDSDTXQQEJFDOK-UHFFFAOYSA-N,5,0.002
"8-bromo-7-[(2-chloro-6-fluorophenyl)methyl]-1,3-dimethylpurine-2,6-dione",2,0,C14H11BrClFN4O2,659235,513,401.618,23,SMR000037679,58.4,QQUMGHLXZHJUQA-UHFFFAOYSA-N,4,0.002
"8-(ethylamino)-7-hexyl-1,3-dimethylpurine-2,6-dione",7,1,C15H25N5O2,659424,417,307.391,22,MLS000037490,70.5,MPDUJQDXXINYBS-UHFFFAOYSA-N,4,0.002
"8-[benzyl(methyl)amino]-1,3-dimethyl-7-(3-phenylpropyl)purine-2,6-dione",7,0,C24H27N5O2,659536,632,417.503,31,SMR000040524,61.7,SCZDJTJZWWSZSL-UHFFFAOYSA-N,4,0.003
"5-(4-bromophenyl)-1,3-dimethyl-5,6-dihydropyrimido[4,5-b][1,5]benzoxazepine-2,4-dione",1,1,C19H16BrN3O3,659615,630,414.252,26,SMR000036344,61.9,YTTXMFJVJNFJBD-UHFFFAOYSA-N,4,0.003
"2-(1,3-dimethyl-2,6-dioxopurin-9-yl)-N-[(4-methoxyphenyl)methyl]acetamide",5,1,C17H19N5O4,1090694,563,357.363,26,AC1LLUTZ,96.8,JPBWZMPWIYIXCV-UHFFFAOYSA-N,5,0
"7-[(4-tert-butylphenyl)methyl]-1,3-dimethylpurine-2,6-dione",3,0,C18H22N4O2,590142,508,326.392,24,ST037606,58.4,ZFZAIHKQJBMYLO-UHFFFAOYSA-N,3,2.8
"8-[4-(4-methoxyphenyl)piperazin-1-yl]-1,3-dimethyl-7-prop-2-enylpurine-2,6-dione",5,0,C21H26N6O3,1091990,659,410.469,30,AC1LLXMG,74.2,ICMWLVOUWBOHEE-UHFFFAOYSA-N,6,0.002
"5-[[4-(dimethylamino)-3-nitrophenyl]methylidene]-1,3-dimethyl-1,3-diazinane-2,4,6-trione",2,0,C15H16N4O5,3099761,584,332.311,24,BAS 00320914,107,DKHRKVCDDSZZHN-UHFFFAOYSA-N,6,0.001
"7-[2-[4-(4-fluorobenzoyl)piperidin-1-yl]ethyl]-1,3-dimethylpurine-2,6-dione",5,0,C21H24FN5O3,71255,676,413.445,30,Flufylline,78.8,PMEYQPKJAPXGPS-UHFFFAOYSA-N,6,1.5
"7-[2-[4-(1H-indol-3-yl)piperidin-1-yl]ethyl]-1,3-dimethylpurine-2,6-dione",4,1,C22H26N6O2,71304,666,406.48,30,Tameridone,77.5,OJOSYHJYEWUYGU-UHFFFAOYSA-N,4,0.001
